Operator,Station,Code,Cubic Name,NLC,Gated
GTR,Glynde,GTR,TOC5338,5338,1
GTR,Godstone,GTR,TOC5474,5474,1
GTR,Gordon Hill,GTR,TOC6028,6028,1
GTR,Goring By Sea,GTR,TOC5272,5272,1
GTR,Ham Street,GTR,TOC5037,5037,1
GTR,Hampden Park,GTR,TOC5450,5450,1
GTR,Harlington,GTR,TOC1533,1533,1
GTR,Harpenden,GTR,TOC1543,1543,1
GTR,Hassocks,GTR,TOC5489,5489,1
GTR,Hatfield,GTR,TOC6070,6070,1
GTR,Hayward’s Heath,GTR,TOC5490,5490,1
GTR,Hertford North,GTR,TOC6085,6085,1
GTR,Hever,GTR,TOC5417,5417,1
GTR,Hitchin,GTR,TOC6086,6086,1
GTR,Holmwood,GTR,TOC5308,5308,1
GTR,Horley,GTR,TOC5365,5365,1
GTR,Hornsey,GTR,TOC6015,6015,1
GTR,Horsham,GTR,TOC5309,5309,1
GTR,Hove,GTR,TOC5273,5273,1
GTR,Huntingdon,GTR,TOC6108,6108,1
GTR,Hurst Green,GTR,TOC5463,5463,1
GTR,Ifield,GTR,TOC5495,5495,1
GTR,Kings Lynn,GTR,TOC7115,7115,1
GTR,Knebworth,GTR,TOC6088,6088,1
GTR,KX Suburban,GTR,TOC6121,6121,1
GTR,Lancing,GTR,TOC5275,5275,1
GTR,Leagrave,GTR,TOC1534,1534,1
GTR,Leatherhead,GTR,TOC5368,5368,1
GTR,Leigh,GTR,TOC5294,5294,1
GTR,Letchworth,GTR,TOC6089,6089,1
GTR,Lewes,GTR,TOC5329,5329,1
GTR,Lingfield,GTR,TOC5369,5369,1
GTR,Littlehampton,GTR,TOC5260,5260,1
GTR,Littlehaven,GTR,TOC5498,5498,1
GTR,Littleport,GTR,TOC7072,7072,1
GTR,London Bridge Shard,GTR,TOC6336,5148,1
GTR,London Road,GTR,TOC5281,5281,1
GTR,Loughborough Junction,GTR,TOC5082,5082,1
GTR,Luton,GTR,TOC1536,1536,1
GTR,Luton Parkway,GTR,TOC3645,3645,1
GTR,Meldreth,GTR,TOC7036,7036,1
GTR,Merstham,GTR,TOC5475,5475,1
GTR,Mill Hill Broadway,GTR,TOC1527,1527,1
GTR,Moulescombe,GTR,TOC5312,5312,1
GTR,New Barnet,GTR,TOC6018,6018,1
GTR,Newhaven Harbour,GTR,TOC5330,5330,1
GTR,Newhaven Town,GTR,TOC5331,5331,1
GTR,Norbury,GTR,TOC5428,5428,1
GTR,Normans Bay,GTR,TOC5460,5460,1
GTR,Nutbourne,GTR,TOC5262,5262,1
GTR,Nutfield,GTR,TOC5476,5476,1
GTR,Ockley,GTR,TOC5310,5310,1
GTR,Ore,GTR,TOC5021,5021,1
GTR,Oxted,GTR,TOC5377,5377,1
GTR,Palmers Green,GTR,TOC6021,6021,1
GTR,Peckham Rye,GTR,TOC5423,5423,1
GTR,Penshurst,GTR,TOC5477,5477,1
GTR,Pevensey and Westham,GTR,TOC5461,5461,1
GTR,Pevensey Bay,GTR,TOC5462,5462,1
GTR,Plumpton,GTR,TOC5332,5332,1
GTR,Polegate,GTR,TOC5455,5455,1
GTR,Portslade,GTR,TOC5276,5276,1
GTR,Potters Bar,GTR,TOC6022,6022,1
GTR,Preston Park,GTR,TOC5285,5285,1
GTR,Pulborough,GTR,TOC5468,5468,1
GTR,Purley,GTR,TOC5379,5379,1
GTR,Queens Road Peckham,GTR,TOC5424,5424,1
GTR,Radlett,GTR,TOC1546,1546,1
GTR,Redhill,GTR,TOC5478,5478,1
GTR,Reigate,GTR,TOC5480,5480,1
GTR,Royston,GTR,TOC6090,6090,1
GTR,Rye,GTR,TOC5024,5024,1
GTR,Salfords,GTR,TOC5380,5380,1
GTR,Sanderstead,GTR,TOC5433,5433,1
GTR,Sandy,GTR,TOC6172,6172,1
GTR,Seaford,GTR,TOC5333,5333,1
GTR,Selhurst,GTR,TOC5434,5434,1
GTR,Shepreth,GTR,TOC7044,7044,1
GTR,Shoreham By Sea,GTR,TOC5277,5277,1
